Graficar despejando Y
X:-5	Y:-21		Xg:-50	Yg:-210
X:-1,22998	Y:-1,282871		Xg:-12,2998	Yg:-12,82871
X:-1,21998	Y:-1,268371		Xg:-12,1998	Yg:-12,68371
X:-1,20998	Y:-1,254072		Xg:-12,0998	Yg:-12,54072
X:-1,19998	Y:-1,239972		Xg:-11,9998	Yg:-12,39972
X:-1,18998	Y:-1,226072		Xg:-11,8998	Yg:-12,26072
X:-1,17998	Y:-1,212373		Xg:-11,7998	Yg:-12,12373
X:-1,16998	Y:-1,198873		Xg:-11,6998	Yg:-11,98873
X:-1,15998	Y:-1,185574		Xg:-11,5998	Yg:-11,85574
X:-1,14998	Y:-1,172474		Xg:-11,4998	Yg:-11,72474
X:-1,13998	Y:-1,159575		Xg:-11,3998	Yg:-11,59575
X:-1,12998	Y:-1,146875		Xg:-11,2998	Yg:-11,46875
X:-1,11998	Y:-1,134375		Xg:-11,1998	Yg:-11,34375
X:-1,10998	Y:-1,122076		Xg:-11,0998	Yg:-11,22076
X:-1,09998	Y:-1,109976		Xg:-10,9998	Yg:-11,09976
X:-1,08998	Y:-1,098077		Xg:-10,8998	Yg:-10,98077
X:-1,07998	Y:-1,086377		Xg:-10,7998	Yg:-10,86377
X:-1,06998	Y:-1,074877		Xg:-10,6998	Yg:-10,74877
X:-1,05998	Y:-1,063578		Xg:-10,5998	Yg:-10,63578
X:-1,04998	Y:-1,052478		Xg:-10,4998	Yg:-10,52478
X:-1,03998	Y:-1,041579		Xg:-10,3998	Yg:-10,41578
X:-1,02998	Y:-1,030879		Xg:-10,2998	Yg:-10,30879
X:-1,01998	Y:-1,020379		Xg:-10,1998	Yg:-10,20379
X:-1,00998	Y:-1,01008		Xg:-10,0998	Yg:-10,1008
X:-0,9999802	Y:-0,9999802		Xg:-9,999802	Yg:-9,999802
X:-0,9899802	Y:-0,9900806		Xg:-9,899802	Yg:-9,900806
X:-0,9799802	Y:-0,980381		Xg:-9,799803	Yg:-9,80381
X:-0,9699802	Y:-0,9708814		Xg:-9,699802	Yg:-9,708814
X:-0,9599802	Y:-0,9615818		Xg:-9,599802	Yg:-9,615818
X:-0,9499803	Y:-0,9524822		Xg:-9,499803	Yg:-9,524822
X:-0,9399803	Y:-0,9435827		Xg:-9,399803	Yg:-9,435826
X:-0,9299803	Y:-0,9348831		Xg:-9,299803	Yg:-9,34883
X:-0,9199803	Y:-0,9263834		Xg:-9,199802	Yg:-9,263834
X:-0,9099803	Y:-0,9180838		Xg:-9,099803	Yg:-9,180839
X:-0,8999803	Y:-0,9099842		Xg:-8,999804	Yg:-9,099842
X:-0,8899803	Y:-0,9020846		Xg:-8,899803	Yg:-9,020846
X:-0,8799803	Y:-0,894385		Xg:-8,799803	Yg:-8,943851
X:-0,8699803	Y:-0,8868855		Xg:-8,699803	Yg:-8,868855
X:-0,8599803	Y:-0,8795859		Xg:-8,599804	Yg:-8,795858
X:-0,8499804	Y:-0,8724862		Xg:-8,499804	Yg:-8,724862
X:-0,8399804	Y:-0,8655866		Xg:-8,399803	Yg:-8,655867
X:-0,8299804	Y:-0,8588871		Xg:-8,299804	Yg:-8,588871
X:-0,8199804	Y:-0,8523874		Xg:-8,199804	Yg:-8,523874
X:-0,8099804	Y:-0,8460879		Xg:-8,099804	Yg:-8,460878
X:-0,7999804	Y:-0,8399882		Xg:-7,999804	Yg:-8,399882
X:-0,7899804	Y:-0,8340886		Xg:-7,899804	Yg:-8,340886
X:-0,7799804	Y:-0,828389		Xg:-7,799804	Yg:-8,283891
X:-0,7699804	Y:-0,8228894		Xg:-7,699804	Yg:-8,228894
X:-0,7599804	Y:-0,8175898		Xg:-7,599804	Yg:-8,175899
X:-0,7499804	Y:-0,8124902		Xg:-7,499804	Yg:-8,124903
X:-0,7399805	Y:-0,8075906		Xg:-7,399805	Yg:-8,075906
X:-0,7299805	Y:-0,802891		Xg:-7,299805	Yg:-8,02891
X:-0,7199805	Y:-0,7983914		Xg:-7,199805	Yg:-7,983914
X:-0,7099805	Y:-0,7940918		Xg:-7,099805	Yg:-7,940918
X:-0,6999805	Y:-0,7899922		Xg:-6,999805	Yg:-7,899922
X:-0,6899805	Y:-0,7860926		Xg:-6,899805	Yg:-7,860926
X:-0,6799805	Y:-0,782393		Xg:-6,799805	Yg:-7,82393
X:-0,6699805	Y:-0,7788934		Xg:-6,699805	Yg:-7,788934
X:-0,6599805	Y:-0,7755938		Xg:-6,599805	Yg:-7,755938
X:-0,6499805	Y:-0,7724941		Xg:-6,499805	Yg:-7,724941
X:-0,6399806	Y:-0,7695946		Xg:-6,399806	Yg:-7,695946
X:-0,6299806	Y:-0,7668949		Xg:-6,299806	Yg:-7,668949
X:-0,6199806	Y:-0,7643954		Xg:-6,199806	Yg:-7,643953
X:-0,6099806	Y:-0,7620957		Xg:-6,099806	Yg:-7,620957
X:-0,5999806	Y:-0,7599961		Xg:-5,999806	Yg:-7,599961
X:-0,5899806	Y:-0,7580965		Xg:-5,899806	Yg:-7,580965
X:-0,5799806	Y:-0,7563969		Xg:-5,799806	Yg:-7,563969
X:-0,5699806	Y:-0,7548973		Xg:-5,699806	Yg:-7,548973
X:-0,5599806	Y:-0,7535977		Xg:-5,599806	Yg:-7,535977
X:-0,5499806	Y:-0,7524981		Xg:-5,499806	Yg:-7,524981
X:-0,5399806	Y:-0,7515985		Xg:-5,399806	Yg:-7,515985
X:-0,5299807	Y:-0,7508988		Xg:-5,299807	Yg:-7,508988
X:-0,5199807	Y:-0,7503992		Xg:-5,199807	Yg:-7,503992
X:-0,5099807	Y:-0,7500996		Xg:-5,099807	Yg:-7,500996
X:-0,4999807	Y:-0,75		Xg:-4,999807	Yg:-7,5
X:-0,4899807	Y:-0,7501004		Xg:-4,899807	Yg:-7,501004
X:-0,4799807	Y:-0,7504008		Xg:-4,799807	Yg:-7,504008
X:-0,4699807	Y:-0,7509012		Xg:-4,699807	Yg:-7,509012
X:-0,4599807	Y:-0,7516015		Xg:-4,599807	Yg:-7,516015
X:-0,4499807	Y:-0,7525019		Xg:-4,499807	Yg:-7,525019
X:-0,4399807	Y:-0,7536023		Xg:-4,399807	Yg:-7,536023
X:-0,4299808	Y:-0,7549027		Xg:-4,299808	Yg:-7,549027
X:-0,4199808	Y:-0,7564031		Xg:-4,199808	Yg:-7,564031
X:-0,4099808	Y:-0,7581035		Xg:-4,099808	Yg:-7,581035
X:-0,3999808	Y:-0,7600039		Xg:-3,999808	Yg:-7,600039
X:-0,3899808	Y:-0,7621042		Xg:-3,899808	Yg:-7,621042
X:-0,3799808	Y:-0,7644046		Xg:-3,799808	Yg:-7,644046
X:-0,3699808	Y:-0,766905		Xg:-3,699808	Yg:-7,66905
X:-0,3599808	Y:-0,7696054		Xg:-3,599808	Yg:-7,696054
X:-0,3499808	Y:-0,7725058		Xg:-3,499808	Yg:-7,725058
X:-0,3399808	Y:-0,7756062		Xg:-3,399808	Yg:-7,756062
X:-0,3299809	Y:-0,7789065		Xg:-3,299809	Yg:-7,789065
X:-0,3199809	Y:-0,7824069		Xg:-3,199809	Yg:-7,824069
X:-0,3099809	Y:-0,7861072		Xg:-3,099809	Yg:-7,861073
X:-0,2999809	Y:-0,7900077		Xg:-2,999809	Yg:-7,900076
X:-0,2899809	Y:-0,794108		Xg:-2,899809	Yg:-7,94108
X:-0,2799809	Y:-0,7984084		Xg:-2,799809	Yg:-7,984084
X:-0,2699809	Y:-0,8029088		Xg:-2,699809	Yg:-8,029088
X:-0,2599809	Y:-0,8076091		Xg:-2,599809	Yg:-8,076092
X:-0,2499809	Y:-0,8125095		Xg:-2,499809	Yg:-8,125095
X:-0,2399809	Y:-0,8176099		Xg:-2,399809	Yg:-8,176099
X:-0,2299809	Y:-0,8229103		Xg:-2,299809	Yg:-8,229103
X:-0,2199809	Y:-0,8284107		Xg:-2,199809	Yg:-8,284107
X:-0,2099809	Y:-0,8341111		Xg:-2,099809	Yg:-8,341111
X:-0,1999809	Y:-0,8400115		Xg:-1,999809	Yg:-8,400115
X:-0,1899809	Y:-0,8461118		Xg:-1,899809	Yg:-8,461119
X:-0,1799809	Y:-0,8524122		Xg:-1,799809	Yg:-8,524122
X:-0,1699809	Y:-0,8589126		Xg:-1,699809	Yg:-8,589127
X:-0,1599809	Y:-0,865613		Xg:-1,599809	Yg:-8,65613
X:-0,1499809	Y:-0,8725134		Xg:-1,499809	Yg:-8,725134
X:-0,1399809	Y:-0,8796138		Xg:-1,399809	Yg:-8,796138
X:-0,1299808	Y:-0,8869142		Xg:-1,299809	Yg:-8,869142
X:-0,1199808	Y:-0,8944145		Xg:-1,199808	Yg:-8,944145
X:-0,1099809	Y:-0,9021149		Xg:-1,099808	Yg:-9,02115
X:-0,09998085	Y:-0,9100153		Xg:-0,9998085	Yg:-9,100153
X:-0,08998086	Y:-0,9181157		Xg:-0,8998085	Yg:-9,181157
X:-0,07998086	Y:-0,9264161		Xg:-0,7998086	Yg:-9,264161
X:-0,06998086	Y:-0,9349164		Xg:-0,6998086	Yg:-9,349164
X:-0,05998086	Y:-0,9436169		Xg:-0,5998086	Yg:-9,436169
X:-0,04998086	Y:-0,9525172		Xg:-0,4998086	Yg:-9,525172
X:-0,03998087	Y:-0,9616176		Xg:-0,3998086	Yg:-9,616176
X:-0,02998087	Y:-0,970918		Xg:-0,2998087	Yg:-9,70918
X:-0,01998087	Y:-0,9804184		Xg:-0,1998087	Yg:-9,804184
X:-0,009980867	Y:-0,9901187		Xg:-0,09980866	Yg:-9,901188
X:1,913309E-05	Y:-1,000019		Xg:0,0001913309	Yg:-10,00019
X:0,01001913	Y:-1,01012		Xg:0,1001913	Yg:-10,1012
X:0,02001913	Y:-1,02042		Xg:0,2001913	Yg:-10,2042
X:0,03001913	Y:-1,03092		Xg:0,3001913	Yg:-10,3092
X:0,04001913	Y:-1,041621		Xg:0,4001913	Yg:-10,41621
X:0,05001913	Y:-1,052521		Xg:0,5001913	Yg:-10,52521
X:0,06001913	Y:-1,063621		Xg:0,6001913	Yg:-10,63621
X:0,07001913	Y:-1,074922		Xg:0,7001913	Yg:-10,74922
X:0,08001912	Y:-1,086422		Xg:0,8001912	Yg:-10,86422
X:0,09001912	Y:-1,098123		Xg:0,9001912	Yg:-10,98123
X:0,1000191	Y:-1,110023		Xg:1,000191	Yg:-11,10023
X:0,1100191	Y:-1,122123		Xg:1,100191	Yg:-11,22123
X:0,1200191	Y:-1,134424		Xg:1,200191	Yg:-11,34424
X:0,1300191	Y:-1,146924		Xg:1,300191	Yg:-11,46924
X:0,1400191	Y:-1,159624		Xg:1,400191	Yg:-11,59624
X:0,1500191	Y:-1,172525		Xg:1,500191	Yg:-11,72525
X:0,1600191	Y:-1,185625		Xg:1,600191	Yg:-11,85625
X:0,1700191	Y:-1,198926		Xg:1,700191	Yg:-11,98926
X:0,1800191	Y:-1,212426		Xg:1,800191	Yg:-12,12426
X:0,1900191	Y:-1,226126		Xg:1,900191	Yg:-12,26126
X:0,2000192	Y:-1,240027		Xg:2,000191	Yg:-12,40027
X:0,2100192	Y:-1,254127		Xg:2,100192	Yg:-12,54127
X:0,2200192	Y:-1,268428		Xg:2,200191	Yg:-12,68428
X:0,2300192	Y:-1,282928		Xg:2,300192	Yg:-12,82928
X:0,2400192	Y:-1,297628		Xg:2,400192	Yg:-12,97628
X:0,2500192	Y:-1,312529		Xg:2,500192	Yg:-13,12529
X:0,2600192	Y:-1,327629		Xg:2,600192	Yg:-13,27629
X:0,2700191	Y:-1,342929		Xg:2,700191	Yg:-13,42929
X:0,2800191	Y:-1,35843		Xg:2,800191	Yg:-13,5843
X:0,2900191	Y:-1,37413		Xg:2,900191	Yg:-13,7413
X:0,3000191	Y:-1,390031		Xg:3,000191	Yg:-13,90031
X:0,3100191	Y:-1,406131		Xg:3,100191	Yg:-14,06131
X:0,3200191	Y:-1,422431		Xg:3,200191	Yg:-14,22431
X:0,3300191	Y:-1,438932		Xg:3,300191	Yg:-14,38932
X:0,3400191	Y:-1,455632		Xg:3,400191	Yg:-14,55632
X:0,3500191	Y:-1,472532		Xg:3,500191	Yg:-14,72532
X:0,3600191	Y:-1,489633		Xg:3,600191	Yg:-14,89633
X:0,370019	Y:-1,506933		Xg:3,700191	Yg:-15,06933
X:0,380019	Y:-1,524433		Xg:3,80019	Yg:-15,24434
X:0,390019	Y:-1,542134		Xg:3,90019	Yg:-15,42134
X:0,400019	Y:-1,560034		Xg:4,00019	Yg:-15,60034
X:0,410019	Y:-1,578135		Xg:4,10019	Yg:-15,78135
X:0,420019	Y:-1,596435		Xg:4,20019	Yg:-15,96435
X:0,430019	Y:-1,614935		Xg:4,30019	Yg:-16,14935
X:0,440019	Y:-1,633636		Xg:4,40019	Yg:-16,33636
X:0,450019	Y:-1,652536		Xg:4,50019	Yg:-16,52536
X:0,460019	Y:-1,671636		Xg:4,60019	Yg:-16,71636
X:0,470019	Y:-1,690937		Xg:4,70019	Yg:-16,90937
X:0,4800189	Y:-1,710437		Xg:4,800189	Yg:-17,10437
X:0,4900189	Y:-1,730137		Xg:4,900189	Yg:-17,30137
X:0,500019	Y:-1,750038		Xg:5,00019	Yg:-17,50038
X:0,5100189	Y:-1,770138		Xg:5,100189	Yg:-17,70138
X:0,5200189	Y:-1,790439		Xg:5,20019	Yg:-17,90439
X:0,5300189	Y:-1,810939		Xg:5,300189	Yg:-18,10939
X:0,5400189	Y:-1,831639		Xg:5,400189	Yg:-18,31639
X:0,5500189	Y:-1,85254		Xg:5,500189	Yg:-18,5254
X:0,5600189	Y:-1,87364		Xg:5,600189	Yg:-18,7364
X:0,5700189	Y:-1,89494		Xg:5,700189	Yg:-18,9494
X:0,5800189	Y:-1,916441		Xg:5,800189	Yg:-19,16441
X:0,5900189	Y:-1,938141		Xg:5,900188	Yg:-19,38141
X:0,6000189	Y:-1,960042		Xg:6,000189	Yg:-19,60041
X:0,6100188	Y:-1,982142		Xg:6,100188	Yg:-19,82142
X:0,6200188	Y:-2,004442		Xg:6,200189	Yg:-20,04442
X:0,6300188	Y:-2,026942		Xg:6,300188	Yg:-20,26942
X:0,6400188	Y:-2,049643		Xg:6,400188	Yg:-20,49643
X:0,6500188	Y:-2,072543		Xg:6,500188	Yg:-20,72543
X:0,6600188	Y:-2,095644		Xg:6,600188	Yg:-20,95644
X:0,6700188	Y:-2,118944		Xg:6,700188	Yg:-21,18944
X:0,6800188	Y:-2,142444		Xg:6,800188	Yg:-21,42444
X:0,6900188	Y:-2,166145		Xg:6,900187	Yg:-21,66145
X:0,7000188	Y:-2,190045		Xg:7,000188	Yg:-21,90045
X:0,7100188	Y:-2,214145		Xg:7,100187	Yg:-22,14145
X:0,7200187	Y:-2,238446		Xg:7,200188	Yg:-22,38446
X:0,7300187	Y:-2,262946		Xg:7,300187	Yg:-22,62946
X:0,7400187	Y:-2,287647		Xg:7,400187	Yg:-22,87646
X:0,7500187	Y:-2,312547		Xg:7,500187	Yg:-23,12547
X:0,7600187	Y:-2,337647		Xg:7,600187	Yg:-23,37647
X:0,7700187	Y:-2,362947		Xg:7,700187	Yg:-23,62947
X:0,7800187	Y:-2,388448		Xg:7,800187	Yg:-23,88448
X:0,7900187	Y:-2,414148		Xg:7,900187	Yg:-24,14148
X:0,8000187	Y:-2,440048		Xg:8,000187	Yg:-24,40048
X:0,8100187	Y:-2,466149		Xg:8,100186	Yg:-24,66149
X:0,8200186	Y:-2,492449		Xg:8,200187	Yg:-24,92449
X:0,8300186	Y:-2,51895		Xg:8,300186	Yg:-25,1895
X:0,8400186	Y:-2,54565		Xg:8,400187	Yg:-25,4565
X:0,8500186	Y:-2,57255		Xg:8,500186	Yg:-25,7255
X:0,8600186	Y:-2,599651		Xg:8,600186	Yg:-25,99651
X:0,8700186	Y:-2,626951		Xg:8,700186	Yg:-26,26951
X:0,8800186	Y:-2,654451		Xg:8,800186	Yg:-26,54451
X:0,8900186	Y:-2,682152		Xg:8,900186	Yg:-26,82152
X:0,9000186	Y:-2,710052		Xg:9,000186	Yg:-27,10052
X:0,9100186	Y:-2,738152		Xg:9,100185	Yg:-27,38152
X:0,9200186	Y:-2,766453		Xg:9,200186	Yg:-27,66453
X:0,9300185	Y:-2,794953		Xg:9,300185	Yg:-27,94953
X:0,9400185	Y:-2,823653		Xg:9,400186	Yg:-28,23653
X:0,9500185	Y:-2,852554		Xg:9,500185	Yg:-28,52554
X:0,9600185	Y:-2,881654		Xg:9,600185	Yg:-28,81654
X:0,9700185	Y:-2,910954		Xg:9,700185	Yg:-29,10954
X:0,9800185	Y:-2,940455		Xg:9,800185	Yg:-29,40455
X:0,9900185	Y:-2,970155		Xg:9,900185	Yg:-29,70155
X:1,000018	Y:-3,000056		Xg:10,00019	Yg:-30,00056
X:1,010018	Y:-3,030156		Xg:10,10018	Yg:-30,30156
X:1,020018	Y:-3,060456		Xg:10,20018	Yg:-30,60456
X:1,030018	Y:-3,090956		Xg:10,30018	Yg:-30,90956
X:1,040018	Y:-3,121657		Xg:10,40018	Yg:-31,21657
X:1,050018	Y:-3,152557		Xg:10,50018	Yg:-31,52557
X:1,060018	Y:-3,183657		Xg:10,60018	Yg:-31,83657
X:1,070018	Y:-3,214958		Xg:10,70018	Yg:-32,14958
X:1,080018	Y:-3,246458		Xg:10,80018	Yg:-32,46458
X:1,090018	Y:-3,278158		Xg:10,90018	Yg:-32,78159
X:1,100018	Y:-3,310059		Xg:11,00018	Yg:-33,10059
X:1,110018	Y:-3,342159		Xg:11,10018	Yg:-33,42159
X:1,120018	Y:-3,37446		Xg:11,20018	Yg:-33,74459
X:1,130018	Y:-3,40696		Xg:11,30018	Yg:-34,0696
X:1,140018	Y:-3,43966		Xg:11,40018	Yg:-34,3966
X:1,150018	Y:-3,47256		Xg:11,50018	Yg:-34,72561
X:1,160018	Y:-3,505661		Xg:11,60018	Yg:-35,05661
X:1,170018	Y:-3,538961		Xg:11,70018	Yg:-35,38961
X:1,180018	Y:-3,572462		Xg:11,80018	Yg:-35,72462
X:1,190018	Y:-3,606162		Xg:11,90018	Yg:-36,06162
X:1,200018	Y:-3,640062		Xg:12,00018	Yg:-36,40062
X:1,210018	Y:-3,674163		Xg:12,10018	Yg:-36,74163
X:1,220018	Y:-3,708463		Xg:12,20018	Yg:-37,08463
X:1,230018	Y:-3,742963		Xg:12,30018	Yg:-37,42963
X:1,240018	Y:-3,777663		Xg:12,40018	Yg:-37,77663
X:1,250018	Y:-3,812564		Xg:12,50018	Yg:-38,12564
X:1,260018	Y:-3,847664		Xg:12,60018	Yg:-38,47664
X:1,270018	Y:-3,882965		Xg:12,70018	Yg:-38,82965
X:1,280018	Y:-3,918465		Xg:12,80018	Yg:-39,18465
X:1,290018	Y:-3,954165		Xg:12,90018	Yg:-39,54165
X:1,300018	Y:-3,990066		Xg:13,00018	Yg:-39,90066
X:1,310018	Y:-4,026166		Xg:13,10018	Yg:-40,26166
X:1,320018	Y:-4,062466		Xg:13,20018	Yg:-40,62466
X:1,330018	Y:-4,098967		Xg:13,30018	Yg:-40,98967
X:1,340018	Y:-4,135667		Xg:13,40018	Yg:-41,35667
X:1,350018	Y:-4,172567		Xg:13,50018	Yg:-41,72567
X:1,360018	Y:-4,209668		Xg:13,60018	Yg:-42,09668
X:1,370018	Y:-4,246968		Xg:13,70018	Yg:-42,46968
X:1,380018	Y:-4,284468		Xg:13,80018	Yg:-42,84468
X:1,390018	Y:-4,322168		Xg:13,90018	Yg:-43,22168
X:1,400018	Y:-4,360069		Xg:14,00018	Yg:-43,60069
X:1,410018	Y:-4,398169		Xg:14,10018	Yg:-43,98169
X:1,420018	Y:-4,43647		Xg:14,20018	Yg:-44,3647
X:1,430018	Y:-4,47497		Xg:14,30018	Yg:-44,7497
X:1,440018	Y:-4,51367		Xg:14,40018	Yg:-45,1367
X:1,450018	Y:-4,55257		Xg:14,50018	Yg:-45,5257
X:1,460018	Y:-4,591671		Xg:14,60018	Yg:-45,91671
X:1,470018	Y:-4,630971		Xg:14,70018	Yg:-46,30971
X:1,480018	Y:-4,670471		Xg:14,80018	Yg:-46,70471
X:1,490018	Y:-4,710172		Xg:14,90018	Yg:-47,10172
X:1,500018	Y:-4,750072		Xg:15,00018	Yg:-47,50072
X:1,510018	Y:-4,790172		Xg:15,10018	Yg:-47,90172
X:1,520018	Y:-4,830472		Xg:15,20018	Yg:-48,30473
X:1,530018	Y:-4,870973		Xg:15,30018	Yg:-48,70973
X:1,540018	Y:-4,911673		Xg:15,40018	Yg:-49,11673
X:1,550018	Y:-4,952574		Xg:15,50018	Yg:-49,52574
X:1,560018	Y:-4,993674		Xg:15,60018	Yg:-49,93674
X:1,570018	Y:-5,034974		Xg:15,70018	Yg:-50,34974
X:1,580018	Y:-5,076475		Xg:15,80018	Yg:-50,76475
X:1,590018	Y:-5,118175		Xg:15,90018	Yg:-51,18175
X:1,600018	Y:-5,160075		Xg:16,00018	Yg:-51,60075
X:1,610018	Y:-5,202176		Xg:16,10018	Yg:-52,02176
X:1,620018	Y:-5,244476		Xg:16,20018	Yg:-52,44476
X:1,630018	Y:-5,286976		Xg:16,30018	Yg:-52,86976
X:1,640018	Y:-5,329677		Xg:16,40018	Yg:-53,29677
X:1,650018	Y:-5,372577		Xg:16,50018	Yg:-53,72577
X:1,660018	Y:-5,415677		Xg:16,60018	Yg:-54,15677
X:1,670018	Y:-5,458977		Xg:16,70018	Yg:-54,58977
X:1,680018	Y:-5,502478		Xg:16,80018	Yg:-55,02478
X:1,690018	Y:-5,546178		Xg:16,90018	Yg:-55,46178
X:1,700018	Y:-5,590078		Xg:17,00018	Yg:-55,90078
X:1,710018	Y:-5,634179		Xg:17,10018	Yg:-56,34179
X:1,720018	Y:-5,678479		Xg:17,20018	Yg:-56,78479
X:1,730018	Y:-5,722979		Xg:17,30018	Yg:-57,22979
X:1,740018	Y:-5,76768		Xg:17,40018	Yg:-57,6768
X:1,750018	Y:-5,81258		Xg:17,50018	Yg:-58,1258
X:1,760018	Y:-5,85768		Xg:17,60018	Yg:-58,57681
X:1,770018	Y:-5,90298		Xg:17,70018	Yg:-59,0298
X:1,780018	Y:-5,948481		Xg:17,80018	Yg:-59,48481
X:1,790018	Y:-5,994181		Xg:17,90018	Yg:-59,94181
X:1,800018	Y:-6,040082		Xg:18,00018	Yg:-60,40081
X:1,810018	Y:-6,086182		Xg:18,10018	Yg:-60,86182
X:1,820018	Y:-6,132482		Xg:18,20018	Yg:-61,32482
X:1,830018	Y:-6,178982		Xg:18,30018	Yg:-61,78982
X:1,840018	Y:-6,225683		Xg:18,40018	Yg:-62,25683
X:1,850018	Y:-6,272583		Xg:18,50018	Yg:-62,72583
X:1,860018	Y:-6,319684		Xg:18,60018	Yg:-63,19683
X:1,870018	Y:-6,366983		Xg:18,70018	Yg:-63,66983
X:1,880018	Y:-6,414484		Xg:18,80018	Yg:-64,14484
X:1,890018	Y:-6,462184		Xg:18,90018	Yg:-64,62184
X:1,900018	Y:-6,510085		Xg:19,00018	Yg:-65,10085
X:1,910018	Y:-6,558185		Xg:19,10018	Yg:-65,58185
X:1,920018	Y:-6,606485		Xg:19,20018	Yg:-66,06485
X:1,930018	Y:-6,654985		Xg:19,30018	Yg:-66,54985
X:1,940018	Y:-6,703686		Xg:19,40018	Yg:-67,03686
X:1,950018	Y:-6,752586		Xg:19,50018	Yg:-67,52586
X:1,960018	Y:-6,801686		Xg:19,60018	Yg:-68,01686
X:1,970018	Y:-6,850986		Xg:19,70018	Yg:-68,50986
X:1,980018	Y:-6,900487		Xg:19,80017	Yg:-69,00487
X:1,990018	Y:-6,950187		Xg:19,90018	Yg:-69,50187
X:2,000018	Y:-7,000088		Xg:20,00018	Yg:-70,00089
X:2,010018	Y:-7,050189		Xg:20,10018	Yg:-70,50188
X:2,020018	Y:-7,100489		Xg:20,20018	Yg:-71,00488
X:2,030018	Y:-7,150989		Xg:20,30018	Yg:-71,50989
X:2,040018	Y:-7,201689		Xg:20,40018	Yg:-72,01689
X:2,050018	Y:-7,25259		Xg:20,50018	Yg:-72,52589
X:2,060018	Y:-7,30369		Xg:20,60018	Yg:-73,0369
X:2,070018	Y:-7,35499		Xg:20,70018	Yg:-73,5499
X:2,080018	Y:-7,406491		Xg:20,80017	Yg:-74,06491
X:2,090018	Y:-7,458191		Xg:20,90018	Yg:-74,58191
X:2,100018	Y:-7,510091		Xg:21,00018	Yg:-75,10091
X:2,110018	Y:-7,562191		Xg:21,10018	Yg:-75,62192
X:2,120018	Y:-7,614492		Xg:21,20018	Yg:-76,14492
X:2,130018	Y:-7,666992		Xg:21,30017	Yg:-76,66992
X:2,140018	Y:-7,719692		Xg:21,40018	Yg:-77,19692
X:2,150017	Y:-7,772593		Xg:21,50018	Yg:-77,72592
X:2,160017	Y:-7,825693		Xg:21,60017	Yg:-78,25693
X:2,170017	Y:-7,878994		Xg:21,70017	Yg:-78,78993
X:2,180017	Y:-7,932494		Xg:21,80017	Yg:-79,32494
X:2,190017	Y:-7,986194		Xg:21,90018	Yg:-79,86194
X:2,200017	Y:-8,040094		Xg:22,00018	Yg:-80,40094
X:2,210017	Y:-8,094194		Xg:22,10017	Yg:-80,94194
X:2,220017	Y:-8,148495		Xg:22,20017	Yg:-81,48495
X:2,230017	Y:-8,202995		Xg:22,30017	Yg:-82,02995
X:2,240017	Y:-8,257695		Xg:22,40017	Yg:-82,57695
X:2,250017	Y:-8,312595		Xg:22,50017	Yg:-83,12595
X:2,260017	Y:-8,367696		Xg:22,60017	Yg:-83,67696
X:2,270017	Y:-8,422997		Xg:22,70017	Yg:-84,22997
X:2,280017	Y:-8,478497		Xg:22,80017	Yg:-84,78497
X:2,290017	Y:-8,534197		Xg:22,90017	Yg:-85,34196
X:2,300017	Y:-8,590097		Xg:23,00017	Yg:-85,90097
X:2,310017	Y:-8,646197		Xg:23,10017	Yg:-86,46198
X:2,320017	Y:-8,702497		Xg:23,20017	Yg:-87,02498
X:2,330017	Y:-8,758998		Xg:23,30017	Yg:-87,58998
X:2,340017	Y:-8,815699		Xg:23,40017	Yg:-88,15698
X:2,350017	Y:-8,872599		Xg:23,50017	Yg:-88,72598
X:2,360017	Y:-8,929699		Xg:23,60017	Yg:-89,29699
X:2,370017	Y:-8,987		Xg:23,70017	Yg:-89,87
X:2,380017	Y:-9,044499		Xg:23,80017	Yg:-90,44499
X:2,390017	Y:-9,1022		Xg:23,90017	Yg:-91,022
X:2,400017	Y:-9,1601		Xg:24,00017	Yg:-91,601
X:2,410017	Y:-9,218201		Xg:24,10017	Yg:-92,18201
X:2,420017	Y:-9,276501		Xg:24,20017	Yg:-92,76501
X:2,430017	Y:-9,335001		Xg:24,30017	Yg:-93,35001
X:2,440017	Y:-9,393702		Xg:24,40017	Yg:-93,93701
X:2,450017	Y:-9,452601		Xg:24,50017	Yg:-94,52602
X:2,460017	Y:-9,511702		Xg:24,60017	Yg:-95,11702
X:2,470017	Y:-9,571002		Xg:24,70017	Yg:-95,71002
X:2,480017	Y:-9,630503		Xg:24,80017	Yg:-96,30502
X:2,490017	Y:-9,690203		Xg:24,90017	Yg:-96,90202
X:2,500017	Y:-9,750103		Xg:25,00017	Yg:-97,50103
X:2,510017	Y:-9,810204		Xg:25,10017	Yg:-98,10204
X:2,520017	Y:-9,870503		Xg:25,20017	Yg:-98,70503
X:2,530017	Y:-9,931004		Xg:25,30017	Yg:-99,31004
X:2,540017	Y:-9,991704		Xg:25,40017	Yg:-99,91704
X:2,550017	Y:-10,0526		Xg:25,50017	Yg:-100,526
X:2,560017	Y:-10,1137		Xg:25,60017	Yg:-101,137
X:2,570017	Y:-10,175		Xg:25,70017	Yg:-101,75
X:2,580017	Y:-10,23651		Xg:25,80017	Yg:-102,3651
X:2,590017	Y:-10,29821		Xg:25,90017	Yg:-102,9821
